,Student index,Log File,Grade,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
133,277.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,C,300,262,590,476,190,72,148
134,281.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,1131,995,1853,1064,415,332,783
135,282.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,A,382,304,683,399,233,75,138
136,283.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,A,514,494,687,777,255,155,331
137,285.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,C,310,347,750,543,496,96,242
138,287.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,B,256,211,520,334,308,30,397
139,291.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,B,331,182,628,745,234,139,184
140,294.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,A,823,623,304,1309,557,643,1175
141,295.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,C,197,209,931,450,208,94,135
142,296.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,490,578,688,631,509,309,724
143,298.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,B,525,189,1206,951,409,72,19
144,301.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,A,334,193,624,629,389,354,311
145,316.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,123,185,773,533,263,104,222
146,317.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,D,487,215,537,988,391,166,166
147,323.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,871,361,441,1028,322,180,512
148,325.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,436,214,245,614,317,188,276
149,331.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,B,663,225,625,1163,811,111,210
150,332.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,B,353,594,1305,506,136,169,218
151,335.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,C,254,131,656,904,240,201,251
152,338.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,A,234,253,610,545,183,168,145
153,340.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,B,366,213,1263,620,601,203,310
