,Student index,Log File,Grade,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
72,115.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,D,180,124,145,354,172,45,85
73,117.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,B,325,309,369,429,432,38,404
74,118.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,B,256,244,359,83,122,5,90
75,123.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,212,290,285,293,95,82,65
76,124.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,149,152,305,400,160,7,28
77,127.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,E,116,174,585,386,163,6,14
78,128.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,B,108,98,486,214,164,0,48
79,129.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,301,245,443,205,258,44,92
80,134.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,293,211,484,193,249,91,110
81,135.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,110,365,92,212,222,79,290
82,136.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,C,812,233,464,319,395,4,234
83,139.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,275,741,575,504,343,162,222
84,140.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,223,156,293,228,168,33,348
85,141.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,C,234,15,418,275,142,0,49
86,142.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,487,434,377,175,202,13,381
87,145.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,189,632,354,292,190,13,285
88,146.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,313,443,319,261,325,16,192
89,149.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,A,304,215,309,93,60,34,219
90,153.0,ENlogs_LTAT.03.001_20210207-0937_AT_02_veebirühmEN.csv,D,195,369,580,266,143,6,60
91,157.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,D,239,245,604,112,173,5,71
92,164.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,B,192,338,491,220,241,0,174
93,166.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,A,161,97,118,419,438,165,74
94,170.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,167,29,337,191,227,40,197
95,171.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,204,99,175,321,245,157,195
96,175.0,ENlogs_LTAT.03.001_20210207-0942_Inf_03EN.csv,A,140,43,542,243,129,19,228
97,177.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,C,266,235,515,594,366,43,131
98,184.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,C,311,76,522,298,188,51,31
99,187.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,A,164,236,354,202,356,71,201
100,190.0,ENlogs_LTAT.03.001_20210207-0945_Inf_08EN.csv,D,350,55,317,260,178,18,51
101,191.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,A,274,388,216,472,350,48,111
102,196.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,255,347,153,326,179,29,148
103,202.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,457,447,760,589,356,169,280
104,203.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,B,288,225,308,380,196,5,333
105,206.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,A,218,191,434,323,383,96,324
106,207.0,ENlogs_LTAT.03.001_20210207-0942_Inf_02EN.csv,F,72,154,333,519,183,41,54
107,208.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,344,314,181,413,148,63,105
108,209.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,C,151,228,321,377,239,9,206
